,Livsmedelsnamn,Livsmedelsnummer,Gruppering,Näringsämne,Värde
331,Grönsakssoppa klar veg. ,430,Rätter,Energi (kcal),23.0
332,Spenatsoppa veg. hemlagad,431,Rätter,Energi (kcal),36.0
333,Vitkål stuvad hemlagad,432,Rätter,Energi (kcal),69.0
334,Blomkål gratinerad,433,Rätter,Energi (kcal),92.0
335,Blomkål kokt m. salt,434,"Grönsaker, baljväxter, svamp",Energi (kcal),24.0
336,Blomkål stuvad,435,Rätter,Energi (kcal),60.0
337,Gröna bönor stuvade,436,Rätter,Energi (kcal),57.0
338,Grönkålssoppa,437,Rätter,Energi (kcal),32.0
339,Grönsakssoppa redd ängamat veg. ,438,Rätter,Energi (kcal),49.0
340,Grönsaksbiff stekt veg.,439,Rätter,Energi (kcal),117.0
341,Grönsallat m. vinägrettsås,440,"Grönsaker, baljväxter, svamp",Energi (kcal),130.0
342,Sallad m. grönsallat gurka tomat vinägrettsås,441,"Grönsaker, baljväxter, svamp",Energi (kcal),112.0
343,Grönsallat m. gräddfilsås,442,"Grönsaker, baljväxter, svamp",Energi (kcal),174.0
344,Sallad m. grönsallat gurka tomat gräddfilsås,443,"Grönsaker, baljväxter, svamp",Energi (kcal),158.0
345,Sallad m. grönsallat gurka tomat paprika u. dressing,444,"Grönsaker, baljväxter, svamp",Energi (kcal),17.0
346,Gurka inlagd m. lag hemlagad,445,"Grönsaker, baljväxter, svamp",Energi (kcal),42.0
347,Lök stekt m. olja el. flytande margarin salt,446,"Grönsaker, baljväxter, svamp",Energi (kcal),53.0
348,Löksås,447,Rätter,Energi (kcal),115.0
349,Lök gul kokt m. salt,448,"Grönsaker, baljväxter, svamp",Energi (kcal),39.0
350,Nässelsoppa,450,Rätter,Energi (kcal),38.0
351,Paprika förvälld,451,"Grönsaker, baljväxter, svamp",Energi (kcal),28.0
352,Purjolök kokt m. salt,452,"Grönsaker, baljväxter, svamp",Energi (kcal),30.0
353,Rödkål tillagad,453,"Grönsaker, baljväxter, svamp",Energi (kcal),61.0
354,Sparris stuvad,454,Rätter,Energi (kcal),59.0
355,Spenat fräst m. olja el. flytande margarin salt,455,"Grönsaker, baljväxter, svamp",Energi (kcal),28.0
356,Spenat stuvad,456,Rätter,Energi (kcal),54.0
357,Champinjon stekt m. salt,457,"Grönsaker, baljväxter, svamp",Energi (kcal),45.0
358,Champinjon stuvad,458,Rätter,Energi (kcal),166.0
359,Champinjonsås hemlagad,459,Rätter,Energi (kcal),129.0
360,Tomatsallad m. vinägrett,460,"Grönsaker, baljväxter, svamp",Energi (kcal),54.0
361,Tomatsås italiensk,461,Rätter,Energi (kcal),93.0
362,Tomatsalsa kall,462,Rätter,Energi (kcal),25.0
363,Vitkålssoppa tillagad veg.,464,Rätter,Energi (kcal),32.0
364,Vitkål kokt m. salt,465,"Grönsaker, baljväxter, svamp",Energi (kcal),30.0
365,Brunkål,466,"Grönsaker, baljväxter, svamp",Energi (kcal),48.0
366,Vitkålssallad pizzasallad,467,Rätter,Energi (kcal),88.0
367,Vitkålssallad m. lingonsylt,468,"Grönsaker, baljväxter, svamp",Energi (kcal),61.0
368,Aubergine kokt m. salt,469,"Grönsaker, baljväxter, svamp",Energi (kcal),24.0
369,Aubergine stekt m. olja el. flytande margarin salt,470,"Grönsaker, baljväxter, svamp",Energi (kcal),74.0
370,Ärtor morot kokta m. salt,471,"Grönsaker, baljväxter, svamp",Energi (kcal),52.0
371,Ärtor morot stuvade,472,Rätter,Energi (kcal),67.0
372,Ärtpurésoppa gröna ärtor tillagad veg. ,473,Rätter,Energi (kcal),50.0
373,Gryta kikärtsgryta grönsaksgryta veg. ,478,Rätter,Energi (kcal),61.0
374,Gratäng m. grönsaker rotfrukter veg.,479,Rätter,Energi (kcal),93.0
375,Grönsakssoppa m. pasta tillagad pulver,480,Rätter,Energi (kcal),30.0
376,Löksoppa fransk tillagad pulver m. vatten,481,Rätter,Energi (kcal),25.0
377,Grönsakssoppa tillagad klar konserv.,482,Rätter,Energi (kcal),15.0
378,Grönsakssoppa tillagad redd pulver m. vatten mjölk,484,Rätter,Energi (kcal),49.0
379,Grönsakssoppa tillagad redd pulver,486,Rätter,Energi (kcal),45.0
380,Gurka inlagd,487,"Grönsaker, baljväxter, svamp",Energi (kcal),59.0
381,Bostongurka,488,"Grönsaker, baljväxter, svamp",Energi (kcal),78.0
382,Gurka fermenterad u. lag,489,"Grönsaker, baljväxter, svamp",Energi (kcal),9.0
383,Saltgurka u. lag,490,"Grönsaker, baljväxter, svamp",Energi (kcal),15.0
384,Ättiksgurka u. lag,491,"Grönsaker, baljväxter, svamp",Energi (kcal),43.0
385,Kronärtskocka kokt,492,"Grönsaker, baljväxter, svamp",Energi (kcal),52.0
386,Champinjonsoppa tillagad pulver m. vatten mjölk,493,Rätter,Energi (kcal),56.0
387,Champinjonsoppa tillagad redd m. mjölk konserv.,494,Rätter,Energi (kcal),64.0
388,Majskolv kokt,495,"Grönsaker, baljväxter, svamp",Energi (kcal),100.0
389,Blomkålssoppa tillagad pulver m. vatten mjölk,496,Rätter,Energi (kcal),51.0
390,Tomatsoppa tillagad pulver m. vatten,497,Rätter,Energi (kcal),32.0
391,Tomatsoppa tillagad konserv. m. vatten mjölk,498,Rätter,Energi (kcal),45.0
392,Sparrissoppa tillagad pulver m. vatten mjölk veg.,499,Rätter,Energi (kcal),50.0
393,Rödkål konserv.,500,"Grönsaker, baljväxter, svamp",Energi (kcal),72.0
394,Champinjonsås tillagad pulver m. mjölk smör,501,Rätter,Energi (kcal),113.0
395,Grönsaker blandade fermenterade,502,"Grönsaker, baljväxter, svamp",Energi (kcal),15.0
396,Grönsaksjuice fermenterad,503,Dryck,Energi (kcal),22.0
397,Kåldolmar råa u. sås frysvara,504,Rätter,Energi (kcal),88.0
398,Vitkålssoppa m. fläskkorv hemlagad,505,Rätter,Energi (kcal),47.0
399,Minestronesoppa,506,Rätter,Energi (kcal),50.0
400,Vitkålssoppa m. frikadeller,508,Rätter,Energi (kcal),60.0
401,Gryta får i kål,510,Rätter,Energi (kcal),54.0
402,Kåldolmar stekta hemlagade,511,Rätter,Energi (kcal),107.0
403,Kålpudding,512,Rätter,Energi (kcal),117.0
404,Sallad Caesarsallad el. kycklingsallad m. dressing,513,Rätter,Energi (kcal),301.0
405,Moussaka ugnsstekt,515,Rätter,Energi (kcal),117.0
406,Wokgrönsaker m. nudlar kyckling,518,Rätter,Energi (kcal),101.0
407,Kycklingsallad m. ananas paprika vitlöksdressing,519,Rätter,Energi (kcal),75.0
408,Granatäpple,520,"Frukt, bär",Energi (kcal),56.0
409,Grapefrukt,521,"Frukt, bär",Energi (kcal),43.0
410,Guava,522,"Frukt, bär",Energi (kcal),33.0
411,Hallon,523,"Frukt, bär",Energi (kcal),34.0
412,Hallon m. socker frysvara,524,"Frukt, bär",Energi (kcal),82.0
413,Hjortron,525,"Frukt, bär",Energi (kcal),48.0
414,Jordgubbar,526,"Frukt, bär",Energi (kcal),41.0
415,Jordgubbar hela m. socker frysvara,527,"Frukt, bär",Energi (kcal),86.0
416,Gratäng broccoligratäng veg. ,528,Rätter,Energi (kcal),100.0
417,Sallad grekisk m. salladsost oliver,529,Rätter,Energi (kcal),87.0
418,Grönsakssufflé,530,Rätter,Energi (kcal),118.0
419,Gratäng grönsaksgratäng veg.,531,Rätter,Energi (kcal),88.0
420,Grekisk sallad m. fetaost,532,Rätter,Energi (kcal),77.0
421,Grönsaksbuljong pasta el. pulver storhushåll,535,Smaksättare,Energi (kcal),238.0
422,Agar torkad,537,Övrigt,Energi (kcal),165.0
423,Mykoprotein färs bitar filé kylvara el. frysvara,538,"Quorn, sojaprotein, vegetariska produkter",Energi (kcal),99.0
424,Gratäng broccoligratäng m. skinka,539,Rätter,Energi (kcal),95.0
425,Wokgrönsaker m. nudlar veg.,543,Rätter,Energi (kcal),81.0
426,Pastej veg.,544,Pålägg,Energi (kcal),249.0
427,Grönsaksbuljong ätf.,545,Smaksättare,Energi (kcal),5.0
428,Honungsmelon,546,"Frukt, bär",Energi (kcal),33.0
429,Nätmelon,547,"Frukt, bär",Energi (kcal),37.0
430,Rabarber tillagad u. socker,548,"Frukt, bär",Energi (kcal),12.0
431,Vattenmelon,549,"Frukt, bär",Energi (kcal),34.0
432,Ananas,550,"Frukt, bär",Energi (kcal),52.0
433,Apelsin,551,"Frukt, bär",Energi (kcal),50.0
434,Aprikos,552,"Frukt, bär",Energi (kcal),51.0
435,Banan,553,"Frukt, bär",Energi (kcal),95.0
436,Björnbär,554,"Frukt, bär",Energi (kcal),43.0
437,Blåbär,555,"Frukt, bär",Energi (kcal),53.0
438,Blåbär frysvara,556,"Frukt, bär",Energi (kcal),43.0
439,Blåbär m. socker frysvara,557,"Frukt, bär",Energi (kcal),83.0
440,Cherimoya,558,"Frukt, bär",Energi (kcal),84.0
441,Citron,559,"Frukt, bär",Energi (kcal),50.0
442,Småcitrus clementin mandarin tangerin satsumas,560,"Frukt, bär",Energi (kcal),54.0
443,Fikon,561,"Frukt, bär",Energi (kcal),87.0
444,Fläderbär,562,"Frukt, bär",Energi (kcal),67.0
445,Jordgubbar skivade m. socker frysvara,563,"Frukt, bär",Energi (kcal),102.0
446,Kaktusfikon,564,"Frukt, bär",Energi (kcal),39.0
447,Kiwi grön,565,"Frukt, bär",Energi (kcal),55.0
448,Krusbär,566,"Frukt, bär",Energi (kcal),38.0
449,Physalis,567,"Frukt, bär",Energi (kcal),57.0
450,Kumquat,568,"Frukt, bär",Energi (kcal),69.0
451,Kvitten,569,"Frukt, bär",Energi (kcal),63.0
452,Surkörsbär,570,"Frukt, bär",Energi (kcal),61.0
453,Sötkörsbär,571,"Frukt, bär",Energi (kcal),69.0
454,Lime,572,"Frukt, bär",Energi (kcal),47.0
455,Lingon,573,"Frukt, bär",Energi (kcal),56.0
456,Mango,574,"Frukt, bär",Energi (kcal),56.0
457,Banan kokbanan,575,"Frukt, bär",Energi (kcal),136.0
458,Nektarin,576,"Frukt, bär",Energi (kcal),53.0
459,Papaya,577,"Frukt, bär",Energi (kcal),48.0
460,Paradisäpple,578,"Frukt, bär",Energi (kcal),81.0
461,Passionsfrukt,579,"Frukt, bär",Energi (kcal),87.0
462,Persika nektarin,580,"Frukt, bär",Energi (kcal),43.0
463,Sharon,581,"Frukt, bär",Energi (kcal),65.0
464,Plommon,582,"Frukt, bär",Energi (kcal),47.0
465,Päron,583,"Frukt, bär",Energi (kcal),54.0
466,Tranbär,584,"Frukt, bär",Energi (kcal),46.0
467,Vinbär röda,585,"Frukt, bär",Energi (kcal),48.0
468,Vinbär svarta,586,"Frukt, bär",Energi (kcal),68.0
469,Vindruvor,587,"Frukt, bär",Energi (kcal),70.0
470,Äpple m. skal,588,"Frukt, bär",Energi (kcal),48.0
471,Äpple u. skal ,589,"Frukt, bär",Energi (kcal),57.0
472,Hallon frysvara,590,"Frukt, bär",Energi (kcal),38.0
473,Björnbär frysvara,591,"Frukt, bär",Energi (kcal),58.0
474,Björnbär m. socker frysvara,592,"Frukt, bär",Energi (kcal),69.0
475,Jordgubbar frysvara,593,"Frukt, bär",Energi (kcal),33.0
476,Hallon blåbär frysvara,597,"Frukt, bär",Energi (kcal),44.0
477,Apelsinskal,598,"Frukt, bär",Energi (kcal),104.0
478,Aprikos torkad,599,"Frukt, bär",Energi (kcal),190.0
479,Banan torkad,600,"Frukt, bär",Energi (kcal),374.0
480,Blåbär torkade,601,"Frukt, bär",Energi (kcal),303.0
481,Citronskal,602,"Frukt, bär",Energi (kcal),64.0
482,Dadlar torkade,603,"Frukt, bär",Energi (kcal),321.0
483,Fikon torkade,604,"Frukt, bär",Energi (kcal),269.0
484,Katrinplommon torkade,605,"Frukt, bär",Energi (kcal),219.0
485,Nypon torkat u. frön,606,"Frukt, bär",Energi (kcal),328.0
486,Nyponsoppapulver berikad,607,Rätter,Energi (kcal),384.0
487,Persika torkad,608,"Frukt, bär",Energi (kcal),252.0
488,Päron torkade,609,"Frukt, bär",Energi (kcal),282.0
489,Russin,610,"Frukt, bär",Energi (kcal),285.0
490,Äpple torkat,611,"Frukt, bär",Energi (kcal),257.0
491,Frukt torkad,612,"Frukt, bär",Energi (kcal),266.0
492,Papaya torkad,613,"Frukt, bär",Energi (kcal),263.0
493,Ananas konserv. m. juice,614,"Frukt, bär",Energi (kcal),62.0
494,Ananas konserv. m. sockerlag,617,"Frukt, bär",Energi (kcal),86.0
495,Aprikos konserv. m. juice,618,"Frukt, bär",Energi (kcal),52.0
496,Aprikos konserv. m. sockerlag,619,"Frukt, bär",Energi (kcal),118.0
497,Körsbär surkörsbär konserv. m. sockerlag,624,"Frukt, bär",Energi (kcal),94.0
498,Persika konserv. m. sockerlag,625,"Frukt, bär",Energi (kcal),83.0
499,Plommon konserv. m. sockerlag,626,"Frukt, bär",Energi (kcal),94.0
500,Päron konserv. m. lättsockrad lag,627,"Frukt, bär",Energi (kcal),60.0
501,Päron konserv. m. sockerlag,628,"Frukt, bär",Energi (kcal),77.0
502,Äpple konserv.,629,"Frukt, bär",Energi (kcal),69.0
503,Grapefrukt konserv. m. lättsockrad lag,630,"Frukt, bär",Energi (kcal),63.0
504,Fruktcocktail konserv. m. sockerlag,632,"Frukt, bär",Energi (kcal),81.0
505,Mandarin konserv. m. lättsockrad lag,633,"Frukt, bär",Energi (kcal),65.0
506,Mango konserv. m. sockerlag,634,"Frukt, bär",Energi (kcal),99.0
507,Apelsinsallad,635,"Frukt, bär",Energi (kcal),107.0
508,Frukt bär konserv. osötad el. sötningsm.,637,"Frukt, bär",Energi (kcal),35.0
509,Fruktsallad,638,"Frukt, bär",Energi (kcal),56.0
510,Apelsinjuice färskpressad,641,Dryck,Energi (kcal),48.0
511,Apelsinjuice konc. frysvara,642,Dryck,Energi (kcal),165.0
512,Apelsinjuice drickf.,643,Dryck,Energi (kcal),39.0
513,Citronjuice färskpressad,645,Dryck,Energi (kcal),29.0
514,Citronjuice konc. konserv.,646,Dryck,Energi (kcal),32.0
515,Småcitrusjuice färskpressad,647,Dryck,Energi (kcal),44.0
516,Grapefruktjuice färskpressad,649,Dryck,Energi (kcal),45.0
517,Limejuice färskpressad,652,Dryck,Energi (kcal),40.0
518,Risgrynsgröt lättmjölk fett ca 1%,654,"Flingor, frukostflingor, müsli, gröt, välling",Energi (kcal),79.0
519,Risgrynsgröt,655,"Flingor, frukostflingor, müsli, gröt, välling",Energi (kcal),86.0
520,Limejuice konc. konserv.,657,Dryck,Energi (kcal),28.0
521,Druvjuice konserv. drickf.,658,Dryck,Energi (kcal),63.0
522,Äppeljuice drickf.,659,Dryck,Energi (kcal),40.0
523,Ananasjuice konserv. drickf.,660,Dryck,Energi (kcal),55.0
524,Apelsinjuice pastöriserad drickf.,661,Dryck,Energi (kcal),43.0
525,Juice,662,Dryck,Energi (kcal),40.0
526,Aprikosnektar pastöriserad drickf.,664,Dryck,Energi (kcal),58.0
527,Persikonektar pastöriserad drickf.,665,Dryck,Energi (kcal),55.0
528,Katrinplommondryck konserv. drickf.,670,Dryck,Energi (kcal),70.0
529,"Havredryck choklad fett 1,5%  berikad",672,Mejeri,Energi (kcal),71.0
530,Bovetegröt m. russin,675,"Flingor, frukostflingor, müsli, gröt, välling",Energi (kcal),106.0
531,Grahamsgröt,676,"Flingor, frukostflingor, müsli, gröt, välling",Energi (kcal),75.0
532,Havregrynsgröt fullkorn,677,"Flingor, frukostflingor, müsli, gröt, välling",Energi (kcal),66.0
533,Molinogröt grahamsmjöl m. torkad frukt linfrö,678,"Flingor, frukostflingor, müsli, gröt, välling",Energi (kcal),89.0
534,Frukostflingor ris puffat rostat osötat,679,"Flingor, frukostflingor, müsli, gröt, välling",Energi (kcal),383.0
535,Rågkross ångprep. fullkorn,680,"Flingor, frukostflingor, müsli, gröt, välling",Energi (kcal),326.0
536,Kornmjölsgröt,681,"Flingor, frukostflingor, müsli, gröt, välling",Energi (kcal),63.0
537,Mannagrynsgröt,682,"Flingor, frukostflingor, müsli, gröt, välling",Energi (kcal),79.0
538,Kruskagröt fullkorn m. havregryn vetekli russin,683,"Flingor, frukostflingor, müsli, gröt, välling",Energi (kcal),66.0
539,Rågmjölsgröt,684,"Flingor, frukostflingor, müsli, gröt, välling",Energi (kcal),75.0
540,Stuvning vit,685,Rätter,Energi (kcal),101.0
541,Välling fullkorn berikad,694,"Flingor, frukostflingor, müsli, gröt, välling",Energi (kcal),70.0
542,Havrevälling hemlagad,695,"Flingor, frukostflingor, müsli, gröt, välling",Energi (kcal),78.0
543,Mannagrynsvälling hemlagad,696,"Flingor, frukostflingor, müsli, gröt, välling",Energi (kcal),68.0
544,Välling berikad,699,"Flingor, frukostflingor, müsli, gröt, välling",Energi (kcal),64.0
545,"Havredryck fett 1,5% berikad",700,Dryck,Energi (kcal),48.0
546,Havregryn fullkorn,702,"Flingor, frukostflingor, müsli, gröt, välling",Energi (kcal),375.0
547,Fiberhavregryn fullkorn havre m. vetekli,703,"Flingor, frukostflingor, müsli, gröt, välling",Energi (kcal),371.0
548,Havrekli,704,"Flingor, frukostflingor, müsli, gröt, välling",Energi (kcal),356.0
549,Korngryn ångprep. fullkorn,705,"Pasta, ris, gryn",Energi (kcal),351.0
550,Frukostflingor majs osötad berikad typ cornflakes,706,"Flingor, frukostflingor, müsli, gröt, välling",Energi (kcal),380.0
551,Vetekross ångprep. fullkorn,707,"Flingor, frukostflingor, müsli, gröt, välling",Energi (kcal),328.0
552,Vetegroddar,708,"Flingor, frukostflingor, müsli, gröt, välling",Energi (kcal),349.0
553,Vetekli,709,"Flingor, frukostflingor, müsli, gröt, välling",Energi (kcal),277.0
554,Frukostflingor vete fullkorn typ Weetabix,710,"Flingor, frukostflingor, müsli, gröt, välling",Energi (kcal),366.0
555,Kruskakli grovt vetekli,711,"Flingor, frukostflingor, müsli, gröt, välling",Energi (kcal),269.0
556,Frukostflingor flingblandning fullkorn typ basmüsli,712,"Flingor, frukostflingor, müsli, gröt, välling",Energi (kcal),367.0
557,Frukostflingor ris puffat m. socker berikad,713,"Flingor, frukostflingor, müsli, gröt, välling",Energi (kcal),385.0
558,Frukostflingor vetekli rostat m. kornmalt,714,"Flingor, frukostflingor, müsli, gröt, välling",Energi (kcal),367.0
559,Frukostflingor ris puffat rostat m. socker kakao,716,"Flingor, frukostflingor, müsli, gröt, välling",Energi (kcal),393.0
560,Frukostflingor müsli fullkorn m. frukt bär,719,"Flingor, frukostflingor, müsli, gröt, välling",Energi (kcal),370.0
561,Frukostflingor müsli flingblandning fullkorn m. frukt nötter socker el. honung,721,"Flingor, frukostflingor, müsli, gröt, välling",Energi (kcal),369.0
562,Frukostflingor vetekli fullkorn berikad,724,"Flingor, frukostflingor, müsli, gröt, välling",Energi (kcal),364.0
563,Frukostflingor fullkorn typ Specialflingor,725,"Flingor, frukostflingor, müsli, gröt, välling",Energi (kcal),384.0
564,Frukostflingor vete puffat m. honung berikad,726,"Flingor, frukostflingor, müsli, gröt, välling",Energi (kcal),388.0
565,Frukostflingor majs m. socker,727,"Flingor, frukostflingor, müsli, gröt, välling",Energi (kcal),382.0
566,Frukostflingor fullkorn m. socker berikad typ ringar,728,"Flingor, frukostflingor, müsli, gröt, välling",Energi (kcal),379.0
567,Fattiga riddare,732,Rätter,Energi (kcal),273.0
568,Pannkaka tunn m. lättmjölk,733,Rätter,Energi (kcal),159.0
569,Ugnspannkaka lättmjölk,734,Rätter,Energi (kcal),152.0
570,Ugnspannkaka mellanmjölk,735,Rätter,Energi (kcal),159.0
571,Våffla m. ägg,736,Rätter,Energi (kcal),248.0
572,Våffla u. ägg,737,Rätter,Energi (kcal),322.0
573,Fläskpannkaka,739,Rätter,Energi (kcal),198.0
574,Räkcrêpe m. mellanmjölk vispgrädde fyllning 44% hemlagad,740,Rätter,Energi (kcal),149.0
575,Räkcrêpe värmd fyllning 37% frysvara,741,Rätter,Energi (kcal),175.0
576,Champinjoncrêpe m. mellanmjölk vispgrädde veg. hemlagad,742,Rätter,Energi (kcal),166.0
577,Baguette m. salami brieost soltorkad tomat sallad,743,Rätter,Energi (kcal),240.0
578,Ciabatta m. mozzarella soltorkad tomat sallad,744,Rätter,Energi (kcal),191.0
579,Bagel m. rökt lax färskost sallad,745,Rätter,Energi (kcal),212.0
580,Champinjoncrêpe värmd veg. frysvara,746,Rätter,Energi (kcal),163.0
581,Crêpefyllning m. spenat färskost fetaost skinka,747,Rätter,Energi (kcal),130.0
582,Crêpes pannkaka tunn fylld,748,Rätter,Energi (kcal),163.0
583,Vårrulle värmd frysvara,750,Rätter,Energi (kcal),217.0
584,Vårrulle värmd tillagad på restaurang,751,Rätter,Energi (kcal),316.0
585,Deg matpaj gräddad,752,Bröd,Energi (kcal),445.0
586,Pirog u. fyllning gräddad,754,Bröd,Energi (kcal),436.0
587,Deg smulpaj gräddad,755,Bröd,Energi (kcal),481.0
588,Paj m. köttfärs,756,Rätter,Energi (kcal),236.0
589,Paj m. kyckling bacon,757,Rätter,Energi (kcal),225.0
590,Pirog m. köttfärs,758,Rätter,Energi (kcal),243.0
591,Pizza m. skinka champinjoner lök sardeller hemlagad,759,Rätter,Energi (kcal),209.0
592,Paj m. köttfärs värmd frysvara,760,Rätter,Energi (kcal),344.0
593,Pirog m. kött värmd frysvara,761,Rätter,Energi (kcal),295.0
594,Pizza Capricciosa m. rökt skinka värmd kylvara el. frysvara,762,Rätter,Energi (kcal),248.0
595,Pizza Capricciosa m. rökt skinka champinjon restaurang,763,Rätter,Energi (kcal),267.0
596,Pizza Pepperoni m. rökt korv värmd frysvara,764,Rätter,Energi (kcal),235.0
597,Pizza pan pizza m. rökt griskött värmd frysvara,765,Rätter,Energi (kcal),280.0
598,Pizza pan pizza m. rökt griskött restaurang,766,Rätter,Energi (kcal),238.0
599,Paj m. ost skinka värmd frysvara,767,Rätter,Energi (kcal),296.0
600,Paj m. lax spenat,768,Rätter,Energi (kcal),178.0
601,Pizza m. räkor musslor hemlagad,769,Rätter,Energi (kcal),237.0
602,Vol-au-vent m. räkstuvning,770,Rätter,Energi (kcal),249.0
603,Paj m. skaldjur värmd frysvara,771,Rätter,Energi (kcal),306.0
604,Pizza Marinara m. skaldjur restaurang,772,Rätter,Energi (kcal),258.0
605,Pizza veg. hemlagad,773,Rätter,Energi (kcal),179.0
606,Pizza Margherita m. ost tomatsås hemlagad,774,Rätter,Energi (kcal),246.0
607,Kycklingburgare m. bröd tillbehör,775,Rätter,Energi (kcal),228.0
608,Fiskburgare m. bröd tillbehör,776,Rätter,Energi (kcal),280.0
609,Baguette m. rostbiff potatissallad sallad,777,Rätter,Energi (kcal),197.0
610,Baguette grov m. skaldjur tonfisk smögenröra sallad,778,Rätter,Energi (kcal),189.0
611,Baguette grov m. ost skinka sallad lättmajonnäs,779,Rätter,Energi (kcal),184.0
612,Bagel m. salami färskost sallad oliv,780,Rätter,Energi (kcal),166.0
613,Sandwich m. räkor ägg sallad majonnäs,781,Rätter,Energi (kcal),295.0
614,Sandwich m. rökt kalkon färskost soltorkad tomat sallad,782,Rätter,Energi (kcal),180.0
615,Sandwich m. salami färskost sallad,783,Rätter,Energi (kcal),164.0
616,Tunnbrödsrulle m. pastrami potatis sallad majonnäs,784,Rätter,Energi (kcal),159.0
617,Wrap vetetortilla m. ris köttfärs majs ost,785,Rätter,Energi (kcal),142.0
618,Wrap vetetortilla fajitas m. kyckling gräddfil sallad,786,Rätter,Energi (kcal),136.0
